term	morpheme	type
conversation	-tion	suffix
generation	-tion	suffix
introduction	-tion	suffix
consideration	-tion	suffix
location	-tion	suffix
regulation	-tion	suffix
division	-tion	suffix
recommendation	-tion	suffix
combination	-tion	suffix
expectation	-tion	suffix
presentation	-tion	suffix
reduction	-tion	suffix
reputation	-tion	suffix
observation	-tion	suffix
corporation	-tion	suffix
creation	-tion	suffix
convention	-tion	suffix
examination	-tion	suffix
interpretation	-tion	suffix
variation	-tion	suffix
representation	-tion	suffix
preparation	-tion	suffix
edition	-tion	suffix
publication	-tion	suffix
obligation	-tion	suffix
foundation	-tion	suffix
invitation	-tion	suffix
intervention	-tion	suffix
formation	-tion	suffix
promotion	-tion	suffix
celebration	-tion	suffix
imagination	-tion	suffix
possession	-tion	suffix
abortion	-tion	suffix
limitation	-tion	suffix
indication	-tion	suffix
cooperation	-tion	suffix
motivation	-tion	suffix
implementation	-tion	suffix
determination	-tion	suffix
transportation	-tion	suffix
registration	-tion	suffix
difficulty	-y	suffix
funny	-y	suffix
healthy	-y	suffix
angry	-y	suffix
lucky	-y	suffix
guilty	-y	suffix
dirty	-y	suffix
bloody	-y	suffix
wealthy	-y	suffix
